INFO  2019-05-20 23:23:25,750 [108  ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method GWebsite.AbpZeroTemplate.Application.Controllers.AssetRentController.GetAssetRentByFilter (GWebsite.AbpZeroTemplate.Web.Core) with arguments (GWebsite.AbpZeroTemplate.Application.Share.AssetsRents.Dto.AssetRentFilter) - Validation state: Valid
INFO  2019-05-20 23:23:25,958 [108  ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method GWebsite.AbpZeroTemplate.Application.Controllers.AssetRentController.GetAssetRentByFilter (GWebsite.AbpZeroTemplate.Web.Core), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 8.9506ms.
INFO  2019-05-20 23:23:25,963 [108  ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-05-20 23:23:25,964 [108  ] ore.Mvc.Internal.ControllerActionInvoker - Executed action GWebsite.AbpZeroTemplate.Application.Controllers.AssetRentController.GetAssetRentByFilter (GWebsite.AbpZeroTemplate.Web.Core) in 218.1649ms
INFO  2019-05-20 23:23:25,964 [108  ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 225.038ms 200 application/json; charset=utf-8
INFO  2019-05-20 23:23:27,077 [108  ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 OPTIONS http://localhost:22742/api/AssetRent/GetAssetRentForEdit  
INFO  2019-05-20 23:23:27,077 [108  ] pNetCore.Cors.Infrastructure.CorsService - Policy execution successful.
INFO  2019-05-20 23:23:27,077 [108  ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 0.1818ms 204 
INFO  2019-05-20 23:23:27,088 [108  ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:22742/api/AssetRent/GetAssetRentForEdit application/json 
INFO  2019-05-20 23:23:27,088 [108  ] pNetCore.Cors.Infrastructure.CorsService - Policy execution successful.
INFO  2019-05-20 23:23:27,088 [108  ] uthentication.JwtBearer.JwtBearerHandler - Successfully validated the token.
WARN  2019-05-20 23:23:27,089 [108  ] calization.RequestLocalizationMiddleware - AbpUserRequestCultureProvider returned the following unsupported cultures 'null'.
WARN  2019-05-20 23:23:27,089 [108  ] calization.RequestLocalizationMiddleware - AbpUserRequestCultureProvider returned the following unsupported UI Cultures 'null'.
WARN  2019-05-20 23:23:27,089 [108  ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported cultures 'null'.
WARN  2019-05-20 23:23:27,089 [108  ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported UI Cultures 'null'.
INFO  2019-05-20 23:23:27,093 [108  ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetAssetRentForEdit", controller = "AssetRent", area = ""}. Executing action GWebsite.AbpZeroTemplate.Application.Controllers.AssetRentController.GetAssetRentForEdit (GWebsite.AbpZeroTemplate.Web.Core)
INFO  2019-05-20 23:23:27,093 [108  ] pNetCore.Cors.Infrastructure.CorsService - Policy execution successful.
INFO  2019-05-20 23:23:27,101 [108  ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method GWebsite.AbpZeroTemplate.Application.Controllers.AssetRentController.GetAssetRentForEdit (GWebsite.AbpZeroTemplate.Web.Core) with arguments (0) - Validation state: Valid
